男|甘肃|1985|同济大学（四平路）|本科在读|本科在读|材料科学与工程|本科大四学生|小学数学,初一初二数学,初一初二物理,初三数学,初三物理,|性格温和，有热情，做事认真稳重||小学数学,初一初二数学,初一初二物理,初三数学,初三物理,|||
男|河南|1980|上海大学（宝山）|硕士在读|硕士在读|法学|在读硕士生|初一初二语文,初一初二英语,初三语文,初三英语,高一高二语文,高一高二英语,高三语文,高三英语,英语四级,|本人具有两年工作经验，认真、勤奋、善于沟通。||初一初二语文,初一初二英语,初三语文,初三英语,高一高二语文,高一高二英语,高三语文,高三英语,英语四级,|||
男|山东|1977|聊城师范学院|硕士在读|硕士在读|教育技术学|离职高中教师|小学数学,小学英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高一高二化学,高三化学,|能针对学生特点教学，教学效果好！善于与学生交流，让学生在最短的时间内提高成绩。||小学数学,小学英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高一高二化学,高三化学,|数学|4|中学二级教师
男|陕西|1982|华东师范大学（普陀）|硕士在读|硕士在读|教育学原理|在读硕士生|初一初二语文,初一初二英语,初一初二数学,初三语文,初三数学,初三英语,高一高二语文,高一高二英语,英语四级,|很多||初一初二语文,初一初二英语,初一初二数学,初三语文,初三数学,初三英语,高一高二语文,高一高二英语,英语四级,|||
男|江苏|1982|华东师范大学|硕士在读|硕士在读|物理|其它教师|高三物理,高三数学,高一高二化学,高一高二物理,高一高二数学,初三化学,初三物理,初三数学,初三英语,初一初二化学,初一初二物理,初一初二数学,初一初二英语,小学奥数,小学数学,小学英语,|有过教学经验,对教材熟悉||高三物理,高三数学,高一高二化学,高一高二物理,高一高二数学,初三化学,初三物理,初三数学,初三英语,初一初二化学,初一初二物理,初一初二数学,初一初二英语,小学奥数,小学数学,小学英语,|物理|2|大学助教
女|河北|1980|上海海事大学（洋泾）|硕士在读|硕士在读|产业经济学|在读硕士生|小学数学,小学英语,小学语文,初一初二语文,初一初二英语,初一初二数学,初三英语,初三数学,高一高二英语,高三英语,高一高二数学,|本人学习成绩优秀,计算机通过国家二级&nbsp;C语言&nbsp;,英语通过国家六级,擅长文科,对工作认真负责,有耐心.||小学数学,小学英语,小学语文,初一初二语文,初一初二英语,初一初二数学,初三英语,初三数学,高一高二英语,高三英语,高一高二数学,|||
女|福建|1982|上海外国语大学（虹口）|硕士在读|硕士在读|英语语言文学|在读硕士生|初级英语口语,初级新概念英语,商务英语,精准英语语音,高级新概念英语,高级英语口语,高级牛津英语,精准普通话,初级牛津英语,|性格开朗，责任心强，有多年带班和家教经验。口语和其他方面专业本领过硬，参加全国英语演讲比赛获华东赛区三等奖，中国青少年外语大赛福建赛区专业组三等奖，福建省英语教师教学技能大赛“口语表达“项目”一等奖。综合能力强。为福建师范大学优秀毕业生，三好学生标兵。||初级英语口语,初级新概念英语,商务英语,精准英语语音,高级新概念英语,高级英语口语,高级牛津英语,精准普通话,初级牛津英语,|||
男|山西|1982|上海交通大学（医学院）|硕士在读|硕士在读|临床医学|在读硕士生|初一初二英语,初一初二数学,初一初二化学,初三英语,初三数学,中考心里辅导,高一高二英语,高考心里辅导,英语四级,高三英语,,|自信诚实友善||初一初二英语,初一初二数学,初一初二化学,初三英语,初三数学,中考心里辅导,高一高二英语,高考心里辅导,英语四级,高三英语,,|||
女|上海|1980|上海师范大学|本科毕业|本科毕业|科学教育|在职小学教师|小学语文,小学英语,初一初二英语,对外汉语|目前就职于一所国际学校，擅长教授外籍孩子初级至高级的中文。本人英语流利，也可教授本地孩子的英语课程。||小学语文,小学英语,初一初二英语,对外汉语|语文|2|小学一级教师
男|上海|1981|上海师范大学|本科毕业|本科毕业|历史教育学|自由职业者|小学语文,小学英语,小学数学,初一初二语文,初一初二英语,初三语文,初三英语,高一高二英语,高三英语,精准普通话,初级英语口语,初级牛津英语,英语四级,英语六级,擅长高中历史|擅长英语和历史。已获大学英语六级证书、上海市中级口译资格证书（笔译部分），发音标准，有一定口语水平。从2004年5月起为本校老师翻译大量中英文资料，英译中20万字（以中文计），中译英5万字（以中文计），获得老师认可（资料在身边，若有要求本人可出示）。||小学语文,小学英语,小学数学,初一初二语文,初一初二英语,初三语文,初三英语,高一高二英语,高三英语,精准普通话,初级英语口语,初级牛津英语,英语四级,英语六级,擅长高中历史|||
女|山东|1982|华东师范大学（其它）|硕士在读|硕士在读|基础心理学|在读硕士生|小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,中考心里辅导,高一高二语文,高考心里辅导,初级英语口语,英语四级,计算机基本操作,|热情大方，仔细认真，活泼开朗。已通过国家大学英语四六计，计算机二级||小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,中考心里辅导,高一高二语文,高考心里辅导,初级英语口语,英语四级,计算机基本操作,|||
男|浙江|1983|上海大学（延长路）|硕士在读|硕士在读|机械电子|在读硕士生|小学数学,小学英语,小学奥数,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高三数学,高等数学,中国象棋,乒乓球,计算机基本操作,|认真负责！决不误人子弟！||小学数学,小学英语,小学奥数,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高三数学,高等数学,中国象棋,乒乓球,计算机基本操作,|||
男|上海|1984|上海师范大学（奉贤）|本科在读|本科在读|计算机科学与技术(师范）|本科大三学生|小学数学,小学英语,初一初二数学,初一初二物理,初三数学,初三物理,高一高二数学,高一高二物理,精准普通话,计算机基本操作,|有普通话等级证和家教证||小学数学,小学英语,初一初二数学,初一初二物理,初三数学,初三物理,高一高二数学,高一高二物理,精准普通话,计算机基本操作,|||
女|湖北|1978|东华大学（长宁）|硕士在读|硕士在读|应用化学|在读硕士生|初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三语文,初三英语,初三数学,初三物理,初三化学,初级英语口语,初级新概念英语,初级牛津英语,英语四级,英语六级,|||初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三语文,初三英语,初三数学,初三物理,初三化学,初级英语口语,初级新概念英语,初级牛津英语,英语四级,英语六级,|||
女|上海|1985|上海师范大学（徐汇）|本科在读|本科在读|音乐学|本科大四学生|民族舞,钢琴,|普通话一级舞蹈学习八年||民族舞,钢琴,|||
男|江苏|1975|华东师范大学|硕士在读|硕士在读|物理学教育|进修高中教师|初一初二物理,初三物理,高一高二物理,高三物理,初一初二数学,初三数学,高等数学,|有丰富的国家级示范高中物理教学经验,代过高三.||初一初二物理,初三物理,高一高二物理,高三物理,初一初二数学,初三数学,高等数学,|物理|6|中学二级教师
女|上海|1985|上海交通大学（闵行）|本科在读|本科在读|英语系|本科大二学生|小学数学,初一初二英语,初三英语,高一高二英语,高三英语,高考心里辅导,上海话,精准普通话,小学语文,小学英语,中考心里辅导,初级英语口语,初级法语,|本人为英语系，且高考英语分数很高。高考加试物理，固对此两科目十分熟悉。教英语比较有经验，加上考得是上海卷，对上海高考情况什么熟悉。有过教高三初三英语经验||小学数学,初一初二英语,初三英语,高一高二英语,高三英语,高考心里辅导,上海话,精准普通话,小学语文,小学英语,中考心里辅导,初级英语口语,初级法语,|||
女|山东|1982|华东理工大学（梅陇）|硕士在读|硕士在读|微生物与生化药学|在读硕士生|小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三语文,初三英语,初三数学,初三物理,初三化学,|华理在读研究生，大学期间通过英语四，六级考试，且分数较高。初高中数理化成绩一直很好，考研成绩良好。沟通能力强，有耐心。||小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三语文,初三英语,初三数学,初三物理,初三化学,|||
男|上海|1986|同济大学（四平路）|本科在读|本科在读|土木工程|本科大三学生|初一初二物理,初一初二数学,初三物理,高一高二数学,高一高二物理,吉它,上海话,|||初一初二物理,初一初二数学,初三物理,高一高二数学,高一高二物理,吉它,上海话,|||
女|山东|1983|上海海事大学（洋泾）|本科在读|本科在读|英语|本科大四学生|小学数学,小学英语,初一初二数学,初一初二化学,初三化学,初一初二英语,初一初二物理,初三物理,初三数学,精准普通话,高一高二英语,初三英语,高一高二化学,高一高二物理,|数学英语化学都较强，物理也不错初中时物理数学英语都获过省级奖，高中物理获省级二等奖||小学数学,小学英语,初一初二数学,初一初二化学,初三化学,初一初二英语,初一初二物理,初三物理,初三数学,精准普通话,高一高二英语,初三英语,高一高二化学,高一高二物理,|||
